Math,Physics,Chemistry,Biology,Total_Science,Average_Science,English,Computer_Science,Sports_Score,Attendance_Percentage,Random_Noise_Feature,Final_Score_Regression,Performance_Level_Classification
81.96391871304235,71.59125015524042,65.42810374072538,69.78617990032272,288.76945250933085,71.3448437632873,63.56434820521393,80.47000880026249,59.504621044206594,88.82701078006674,-33.92473652436109,63.16516763935271,Medium
73.240525402852,67.89476363471056,64.31543193439065,68.43013605465364,273.88085702660686,67.56338603988401,62.98470322189938,57.45011885403912,52.445246094366055,90.36706351205223,-15.274973152682644,65.50387802755746,Medium
76.7750372306078,72.51478577600712,74.4088577138987,76.5849866132736,300.2836673337872,71.47963048818677,65.99733829811089,81.18472785402815,57.41437563819507,87.49344956067772,-29.869053052257144,75.77606668662612,High
81.99561467555239,83.69049091588505,94.66873685078122,88.0660806391407,348.4209230813594,86.44505038693697,75.27724244492707,81.54817044630214,70.7209759127655,75.28751154519115,5.520902347305978,83.5776020484046,High
71.1495828208346,58.19039291799771,70.44123187543543,59.457316073081685,259.23852368734947,66.27528908548086,65.64772389124714,74.078976978264,79.16784982545771,84.2228878373612,59.85892657309564,69.10068421559508,Medium
69.62605735761694,68.72509896737289,60.98122258500874,71.21403407359217,270.54641298359076,65.0881390077441,74.05827719200681,74.56542619089036,68.55730996295361,79.22146212541543,-38.55210785706023,64.28987014014807,Medium
90.26809425521257,85.79815553188503,88.2223096021621,69.56577836545726,333.854337754717,85.56054974078043,77.48521739890612,94.88910795189324,61.52584812707655,83.98697113540963,50.04102488842071,80.43962293135384,High
80.85020629993893,73.58890413618813,69.93782734683727,73.89503997734623,298.27197776031056,75.54354408224631,61.68703744991362,86.6136533665717,82.47017655456642,89.90002118066947,-39.08360361734438,66.82725727138443,Medium
70.55301971724717,68.60148448281251,70.71871141008585,62.37561308594122,272.2488286960867,66.5937405300796,74.83422207041662,76.67020655079246,55.30745290422717,86.52575417937486,-42.38136062484421,67.54503996460585,Medium
72.74942437805682,80.11345112399245,73.06997717677025,79.22556139228708,305.1584140711066,76.00654424310096,66.10119923618144,85.44617258285139,75.46379007550361,90.74045433198717,40.92973091716066,70.89655747473462,Medium
71.95279340004701,57.32802375003051,64.89764212817953,65.5016081879366,259.68006746619363,68.11666048183048,65.28631273347574,69.33231135121193,55.67905802473082,86.7087696035677,46.09681890038084,63.05929890099342,Medium
66.33070048775943,61.52907857146636,71.97168570200839,56.909324141159715,256.7407889023939,65.6522928526102,69.3121837805339,67.49945758069583,66.4653443701634,78.50837030165549,42.57049683813271,62.859567945180245,Medium
82.79592707878666,68.57391096672384,65.98380487273909,66.50966396075825,283.86330687900784,70.98339402954825,72.2906192481845,79.04541775477662,58.29656152814323,72.39576496713633,-65.78987041090706,69.11921649999692,Medium
47.42125846297418,46.16768204787769,43.88160662785706,52.05927761070646,189.52982474941538,46.907089553431874,64.36047466756722,60.81832470276877,59.16221726020784,85.74404380839795,-23.29754890360254,44.025989858835615,Low
61.43064069069592,56.89819588452841,49.83282504313964,52.276417623682335,220.4380792420463,55.2627379514149,60.75760031955083,55.03719368272792,54.339202238066854,83.93036766824417,41.14942960016607,58.874228636396886,Low
65.36667862490351,63.40799401372625,69.56901896268685,60.90238004977579,259.2460716510924,63.787990796888494,58.173510657736315,69.33546362773009,80.17281046771042,80.1152713030906,2.0770920281947305,62.149635224846826,Medium
56.61459877858352,58.549114590102704,52.27495841927155,56.98668605958388,224.42535784754165,51.896840450447385,79.33867954959231,62.65167576983245,49.00610942837197,76.4968637517431,-53.68464230987321,56.53966986402155,Low
70.72304415568112,63.123161503918965,58.98169533539989,77.31948130890846,270.14738230390844,71.62120139704658,72.75439903487278,67.5364483015418,48.896516211769374,81.32628393263646,22.915896956272086,59.18754890111907,Low
59.31802270381629,64.09684939583403,58.663964952742894,57.813603807572605,239.89244085996583,60.28376021339026,61.46510965837947,72.76903258546477,91.81490348767664,84.02754257567612,-35.74036294957352,52.42361517080913,Low
57.99779271865667,49.680671012379726,58.63566698620169,55.34841552247265,221.66254623971076,56.21193109017277,66.82527747509752,60.087965087028294,74.66771346981497,88.32938911853195,89.7262424196106,61.21915842271361,Medium
87.27066512939304,84.95615084054718,90.65779643790968,97.6761072176988,360.5607196255487,90.02436440663335,81.25514894989145,97.06614795526438,24.22329451960445,85.9431554078399,77.24207312091292,85.85634395873618,High
64.87373697544176,69.12912168492561,65.42643018470766,59.200141173831106,258.62943001890613,63.18712390327736,70.61339144010887,57.815343704708894,51.52111891184394,93.04033623586365,30.204871317778366,54.83995457567076,Low
70.55350908557432,77.47857502607249,68.61814901129922,59.56422565743128,276.2144587803773,68.68176573319678,89.41016942162096,67.64277422759983,32.82015993656918,79.82197971977303,68.05033523848869,74.72316516972296,Medium
66.46386993092476,49.208416142269876,61.52202180914417,60.45405612665708,237.64836400899588,56.21330147786035,56.82579127046543,59.83048636712845,45.73963959877118,89.40529446028717,3.2395675061690548,60.3417990585757,Medium
73.19388860525173,49.45861197564405,55.207464256271074,60.484314386983556,238.3442792241504,64.14024280214421,62.64723377618455,74.60660588720094,12.922280006489402,85.23649371564363,38.271874718750794,59.18424426313059,Low
73.29084424546883,72.02847362086715,69.16662202118363,69.19980073064295,283.6857406181625,68.45241115769583,70.70908622406877,74.68366632589424,57.94515633459086,88.47334562059292,73.88601476510375,76.22843791577925,High
58.680081616617976,67.49262013333124,59.44218367540226,53.80312595699029,239.41801138234177,57.790570277891085,69.51517244269219,63.96536065988685,42.87087271258032,82.81742568367228,12.274934089715634,61.33902231557468,Medium
74.35713681704803,79.9517119481539,76.0030737898819,72.19817933885165,302.5101018939355,74.74700706471107,59.57761388689651,66.11473759888635,60.898578851946574,90.35840186945295,-12.759358575714183,62.241825152454034,Medium
67.06120296446403,65.04191017718507,61.44457963485753,73.58484177339,267.1325345498966,69.3592850871789,49.07108203875632,58.09630070004326,35.623181116762126,86.47612379172621,-85.23109790885579,60.310831593443154,Medium
61.96909967607521,64.624881573907,67.25526756059644,71.89583325377595,265.7450820643546,66.46528851461396,62.26122158648588,70.92398262368313,61.2436777975806,81.60277507541126,-4.156676286074699,62.75561683351968,Medium
62.69605119058931,68.01854686089258,51.54129711064108,69.15627494902789,251.41217011115083,60.38077093572678,51.71667004191992,56.637605145436325,53.77625582819509,84.93987985543406,41.17115922811557,53.39168571193954,Low
80.17986147570144,83.65505084656704,85.23153978342015,80.0254195103335,329.0918716160221,84.7816446255202,78.56729651135745,82.0950812240462,82.52929447782893,83.8022207053145,47.28167137838148,80.8674328207465,High
71.86114336564705,72.24681659940175,72.132571315393,62.95810533330345,279.19863661374524,71.26166040700727,72.92551699586878,74.39844350569754,81.17035292618438,87.44589175318897,25.21825328592049,60.493849823336554,Medium
62.6588704089547,61.95024150627413,54.511420539167595,42.388418753528434,221.50895120792487,56.45410771641412,54.47003258889058,55.662042662415374,71.78018404515424,79.10111625312746,-27.06495474811199,60.7441053784298,Medium
75.80951680953501,83.52649865852628,78.52037022897987,73.36916419453536,311.2255498915765,79.23785595523582,63.34320177047158,88.81785103335815,55.10079329008181,84.85324148942152,-98.84107844737953,69.53073476369059,Medium
65.66149731673994,71.58986369484516,60.025926004303265,63.53178261860373,260.8090696344921,69.99099120978794,61.00879174392562,69.80080520989705,89.7807059289044,86.97653626324666,-24.760754900236755,57.52469411075031,Low
65.95980763503586,74.05071578594139,70.37588994575873,75.19031504453778,285.57672841127373,75.76437189289067,77.36239304195465,61.67096877166995,36.70447083240269,85.16511653596517,-15.217243552697571,66.28014081631888,Medium
43.08142436015314,47.85848063266475,51.2556176161851,49.074219183489504,191.2697417924925,46.444004762116535,41.72252162470867,48.79604030668789,38.94662055654506,91.73470622194498,-15.646448359500706,46.288946686034755,Low
57.84039860381555,56.59026795005572,51.90447668459263,56.584337808707375,222.91948104717127,58.977640247415124,66.26455684415886,44.374070897347906,58.74325350166403,88.87011387035527,30.927817848896222,54.18527290971212,Low
77.20410387175201,63.12323283424564,70.935555960211,67.8352991032388,279.09819176944745,70.54088432187966,76.91647828099048,67.09675034911605,93.81057163381678,84.96259601629626,99.28382055074198,63.8027963167399,Medium
85.80430425724344,73.91110014450882,80.43574664790022,78.61321909436481,318.7643701440173,80.68928416827981,81.8019468772209,82.27245197597009,56.96491639694869,86.08344548748836,6.176460092054651,73.98309120323881,Medium
69.419261497555,69.66727062133418,72.49854761674187,76.30895248878339,287.89403222441445,68.58896639281696,79.94741968730328,69.47368165359576,57.251321351860774,86.47832775741,-10.836589457823083,62.54561193463842,Medium
74.23692134327408,66.22307518644463,65.91086082829793,59.14819645165476,265.5190538096714,66.03899192164145,85.80657342055923,73.30039444620586,38.37134465832286,87.01649802083412,-12.961090650204627,67.37479724764438,Medium
66.79642069660358,67.75073740427572,68.11004506556107,68.7868491711312,271.4440523375715,66.23536590371975,64.04353774192253,57.93483020731348,74.18894377905568,75.87171002167696,6.21923834538571,68.03391829290632,Medium
54.35164359662163,51.10268043441472,58.787829049508815,60.80938932205373,225.0515424025989,57.919003230436346,59.52691870805087,64.75765085913392,74.2976438149403,83.49236852115327,-41.41468801741995,53.50463502156249,Low
67.21985760348628,68.40671125267527,52.551851523165524,60.3109561822727,248.48937656159976,64.26450514120555,60.62958307525283,61.35548173734389,71.83612802099864,77.57780465903286,6.009927937302754,63.94406942749307,Medium
68.65522668246923,65.39464761499312,71.18898261518162,69.59781596312564,274.8366728757696,64.56019551690977,65.79134336132798,67.40007760830204,50.56168990728956,91.39140473729744,22.54061681658999,71.63598105106227,Medium
72.6892614772679,80.52472065649609,78.8899485687838,97.45914892902448,329.56307963157224,82.34670017988452,88.6628424286229,78.80685629999995,49.39939847440492,84.69575239998537,10.484303178724407,72.32150464630635,Medium
